dataset,fold,FCN,MotionGRU,ConvTran,ConvLSTM,VanTran,DisjointCNN,STGCN,LITEMV,H-Inception
EHE_reg_BWL,0,3.12875525093043,2.65554193302297,2.19932575850292,3.21978417662694,3.79717230242431,2.86469796205202,3.99117910721598,2.0368571251455,2.94439255362543
EHE_reg_BWL,1,4.34680713540418,3.43553467081144,3.80745756417562,3.41102093044417,4.84091479257681,3.9643810786229,3.89093808268702,3.80742340417898,4.63315406647559
EHE_reg_BWL,2,4.92658700819324,6.07687462415501,4.73634623111418,4.8862578581105,3.9418753075423,5.03174583986079,5.35203756510152,3.77823422485051,4.26609097661635
EHE_reg_BWL,3,2.51396170212687,1.43806232376158,2.22055293962113,2.51048172973183,1.30048898807597,2.55788111582375,2.46983535251903,1.51829256543398,2.40977656726049
EHE_reg_BWL,4,5.20590159976305,4.7240267381045,3.34409533426577,5.73452182551204,6.12343876714065,5.10035335936552,4.51226437825698,2.6676737306757,5.99111782561136
EHE_reg_BWR,0,4.01518979180464,4.26069732881204,3.57555072867986,4.42548882053754,4.31575992779886,4.24569897165939,3.97539257714616,3.72917545834286,4.30802828700883
EHE_reg_BWR,1,4.9464238083678,4.43296740800829,4.71147812075667,4.25722862331907,4.46334959445867,5.16521236380456,4.86370169868202,4.13731568522265,4.78633000225109
EHE_reg_BWR,2,4.1764915290742,5.13220566082133,3.85847891558121,4.38616176495858,4.08901231785059,4.38622706812262,4.60196415290215,3.38126650350067,4.25284251861601
EHE_reg_BWR,3,2.75787190023184,2.65319717600441,2.96430140104451,2.80775426249579,3.83298312274291,2.73905339528173,3.02252631713552,2.24202080001722,2.54450711186516
EHE_reg_BWR,4,3.22368465138179,4.40187727167242,2.74180241942305,4.44366502846465,4.16228204232076,4.07279106555094,4.51936570830319,2.89168144237795,3.46998925943281
EHE_reg_HUD,0,3.08461193717597,3.18441377001334,2.36044614417935,3.73579043223683,3.61208245039845,2.91287918698141,3.47991572618795,2.61688618891387,2.77435504118487
EHE_reg_HUD,1,4.3303168087421,3.44948072522854,4.51010379168254,3.28163481689721,3.03647093584553,4.23766182051579,4.03526153884028,3.07948955912247,3.30312591130751
EHE_reg_HUD,2,3.36267259271733,3.61215208093139,2.94305875844117,3.73695713148221,3.14319608453474,4.00917324172234,3.65567996073898,2.68402012362326,4.02154101458521
EHE_reg_HUD,3,3.13110864762637,3.47778701839853,2.76323773683853,2.32984505353161,1.35700640368243,3.47662147978961,3.28970539680092,1.63629568556531,2.94989656993439
EHE_reg_HUD,4,4.9214964644098,4.23457856687537,3.69686940563762,4.1025660413182,4.15547774135392,5.09235692020775,4.20329537236086,3.31565695514216,4.47885251502415
EHE_reg_WB,0,5.08225355039063,4.52199348643208,4.5338351207521,4.31810921661807,4.12521210295868,4.95335870757414,4.19874843541272,4.60533363830142,4.65882226935408
EHE_reg_WB,1,4.97613511657112,4.50231883800284,5.76574635486558,4.39844827557438,3.45417031548052,4.65881874831252,4.84286423180568,4.68692030761562,4.30594196590912
EHE_reg_WB,2,6.21617315139002,5.42729694555615,5.65576526396677,5.08691818058228,4.32469075503139,6.25545770422119,5.38501319440231,4.94861851365844,5.81100412799542
EHE_reg_WB,3,3.63158493911369,2.48119670032245,4.06226790482219,2.455575998861,2.32109666469055,3.90904548441963,3.44874237572435,2.22981534344059,3.03577946110126
EHE_reg_WB,4,6.65570022224275,5.88794488558574,5.84012605625674,6.50919969992816,4.16241919324932,5.98364027677173,5.47409579542883,4.25743848443953,6.26885518102049
EHE_reg_WF,0,4.45792531396127,4.50844989033377,4.37745074032278,4.96985746534167,4.11656573284418,5.17514638046601,3.78604781447574,4.19587167785395,3.83343791778842
EHE_reg_WF,1,5.18994694207461,4.92248562677226,5.58966188152118,4.51481519976507,3.22855610936803,5.594238607038,4.52475650755301,4.29167532327069,5.06632247088218
EHE_reg_WF,2,5.03027982691556,5.48075775884405,5.42191860704257,5.45587591616462,3.8761575354879,5.25521963321372,5.89709920356499,3.71577541895437,5.07563481725975
EHE_reg_WF,3,3.61982234287182,2.68036691739594,3.29844893683034,3.89107748922967,2.62966835702567,3.63926261087392,4.23014136193779,3.53632328576723,2.91738180645089
EHE_reg_WF,4,5.05234621185811,5.10594610303311,5.75924598592756,5.25150424700174,4.17280024681858,6.11729119022287,5.21574542640227,3.91363592377339,4.77504014541343
EHE_reg_WH,0,3.68789363692958,3.33679298880162,2.6159749137509,3.25617387498996,5.21101347476434,3.12371970351828,3.78417957620833,2.75491360361072,4.07018393387781
EHE_reg_WH,1,3.13810431008981,2.92458700692942,2.96618387724077,3.15040197448342,2.96570209334524,2.90930414012011,3.24390639171829,2.4429491854976,3.38060274265382
EHE_reg_WH,2,4.187782777691,4.1021022191989,4.00363686433046,3.75553770844211,3.30504028147495,4.2190716652001,3.08823478689475,3.24352097460921,4.30331454813616
EHE_reg_WH,3,2.10619571549101,1.90848343523759,1.52117355988804,2.39831004988812,2.14587214858313,2.22308684899519,2.03419540489774,1.78155217991403,2.17775553057103
EHE_reg_WH,4,4.16892264580055,4.01688518480425,3.07151848158424,4.69032777982159,4.3996690825758,3.52795419294703,4.06582107790397,2.63122610514399,3.49902050255332
KIMORE_reg_LA,0,42.6483023459311,38.669473939226,43.2829744956045,35.3769809785935,36.0136422481215,40.550831869616,39.8091322056804,25.8867252770834,42.8527076347415
KIMORE_reg_LA,1,24.4199939179185,8.7362266243333,10.5937574328145,12.6263961980427,15.5371451392101,23.8056609389245,16.6045106214342,10.8935202321559,20.7563666315991
KIMORE_reg_LA,2,23.6997051613292,24.2409820628369,26.5654479510519,26.6176044121916,32.1664884069746,36.1701824707337,25.1884436228724,27.2632577775065,34.2880601940857
KIMORE_reg_LA,3,29.1285460052335,39.1383766889259,30.4981106554211,36.7280222297906,40.7530776557992,37.2822406531262,34.5497382120678,15.6572826686241,35.61800389559
KIMORE_reg_LA,4,19.650277557965,15.9101744358782,15.2642609724237,17.2887475966822,15.0960467531302,20.7733783939875,15.382074741365,18.1512960888058,18.8366797155365
KIMORE_reg_LT,0,31.0286616840767,32.4922586236629,18.6962896346214,34.96964720304,40.4807113525407,30.5668783706373,31.0733129409778,15.1185246322486,25.1411157126562
KIMORE_reg_LT,1,14.8751026741712,32.9561294929377,11.1731852274525,28.3947435624142,28.5612381382122,15.881162327933,35.0812375374155,8.06668619375776,18.4161667602969
KIMORE_reg_LT,2,52.382395117402,41.4009368492087,41.695976731027,45.1855723587445,38.780926107653,55.4405676434103,37.6462559351807,34.61960912573,40.9643158482202
KIMORE_reg_LT,3,22.640068922915,39.8223940049469,11.3741074263857,41.0587170276939,37.8308321867302,27.4499322777859,42.7095533909157,19.7168510089968,30.1836733991944
KIMORE_reg_LT,4,36.24514995253,25.301858120643,25.3518140127644,28.5567980616471,31.9593501832743,32.0414691212885,33.8660056170356,24.7282397637524,30.1392858623832
KIMORE_reg_PR,0,28.2236046603874,28.0958731192736,33.858755426887,22.0022122134674,33.8238729012325,38.6539112484952,27.795567331737,23.5875887331549,27.1290424112204
KIMORE_reg_PR,1,26.7716143387706,17.7850482104274,28.8806273605077,17.4377380053926,16.5683850382202,24.5198540156879,15.8370905813988,15.0162118688858,27.7845661579555
KIMORE_reg_PR,2,36.2837856650521,33.006545593061,30.728233560886,36.3475216710696,26.8329976561925,51.4422713687155,36.3738119329293,25.8812057111843,34.40932118034
KIMORE_reg_PR,3,27.0625342335742,25.4148655347641,19.2009215128731,25.8261101760069,18.9403558486741,22.2880660014225,26.6878233620572,24.8145149998493,26.6357419039324
KIMORE_reg_PR,4,29.8639115216073,19.2348724495298,19.6388303183177,7.51258398470538,18.1125349296925,12.0742492091437,19.8186514693853,19.4908505720095,10.8931031623101
KIMORE_reg_Sq,0,33.1077153434943,40.0634283098443,35.8724212015255,41.6354234385458,35.8414626904393,35.2826123242435,37.7363389131052,28.3876725507049,25.5122418113154
KIMORE_reg_Sq,1,27.438630756406,17.6053890922931,18.6143271817924,18.3968504493214,23.3987925884415,21.6121630864591,19.1398811579106,26.3128813949168,28.5241322745838
KIMORE_reg_Sq,2,33.873989237091,25.5247778683215,38.3916274299383,28.2013027287706,28.1056081806263,43.2759908164018,23.8207415462759,34.3212500304884,31.5524264186533
KIMORE_reg_Sq,3,22.3887897884357,23.4309446374813,28.6595884297668,31.3032095511349,35.4973755958314,22.7432845679354,31.5660777744375,31.9457319135091,23.3126707290222
KIMORE_reg_Sq,4,32.57458486538,27.9482816062033,28.8148701244214,29.4670667341379,38.48326976321,23.8839543892322,27.057033144093,21.7633805376598,31.5217222383506
KIMORE_reg_TR,0,45.3727361575412,36.5410793873165,32.5585437634333,31.0610623733151,45.2959752110492,48.3091542258245,44.2657411208809,31.4014078940529,34.9302192368489
KIMORE_reg_TR,1,25.7572336796003,21.4403549023361,11.4173439987188,25.6894633179246,31.094587218651,25.4439648249827,26.2579423994508,25.3653119956372,28.6851351941793
KIMORE_reg_TR,2,33.3616154796214,30.3091069487739,29.5842565878498,31.7059809114503,30.0751545066683,31.2307352290032,30.6098452728571,23.7356262264183,32.0517312961342
KIMORE_reg_TR,3,29.0972894783816,34.321778157228,32.2462227947242,36.31144972596,30.5062470193775,20.2507582300775,32.6133646027107,24.4596037232179,20.9302937923834
KIMORE_reg_TR,4,19.0465738722855,14.3871967959469,26.2612373053582,15.4852209162584,10.5440301805145,35.6004157321789,9.97575608072449,15.9594387363639,23.5544564636428
UIPRMD_reg_DS,0,0.0717188847526082,0.0869888725562181,0.0831080819511129,0.0819580886521579,0.102215204555692,0.0925529113464582,0.0940970396435559,0.0741757592192831,0.0846153828136218
UIPRMD_reg_DS,1,0.0861760192086796,0.0617626710504062,0.110028889256802,0.10861172819985,0.0612439110710882,0.0647818491565555,0.0396601839180639,0.120608833002134,0.0764392893611483
UIPRMD_reg_DS,2,0.0454378452715301,0.0473710397368445,0.0368985236644701,0.0393915754259393,0.0816313677528345,0.0449216347362232,0.0531993896275454,0.037425607990952,0.0456204361217221
UIPRMD_reg_DS,3,0.0584095404506574,0.0537970230181609,0.053150869558473,0.0530132252236829,0.0737538881952955,0.0595644172503781,0.070260809705212,0.0602976311008073,0.066204502111387
UIPRMD_reg_DS,4,0.0352051045525868,0.0368161317788465,0.0327081283444582,0.0411499937163762,0.0639810280480715,0.0344131050182399,0.0515340104581506,0.0399815802700595,0.0512865124249317
UIPRMD_reg_HS,0,0.167827387747645,0.168166141003401,0.152921714467353,0.126431397263482,0.179420116701822,0.114188419983777,0.207261225756694,0.117097932505784,0.147140791448537
UIPRMD_reg_HS,1,0.181907669067226,0.0929680346279906,0.0688344364931788,0.0973861224019968,0.224931353322656,0.0909773305772594,0.189186258524819,0.0788953315965561,0.112763742191949
UIPRMD_reg_HS,2,0.165617204732765,0.154549872161306,0.100630723060523,0.124139846617769,0.179726309380774,0.118511628205811,0.192456162611872,0.10881250997834,0.150730571820315
UIPRMD_reg_HS,3,0.107875911825015,0.129863540582371,0.146685750421045,0.10075873333839,0.159328872384616,0.121617952806779,0.133624316557697,0.118486961568767,0.177052185584081
