dataset,fold,FCN,MotionGRU,ConvTran,ConvLSTM,VanTran,DisjointCNN,STGCN,LITEMV,H-Inception
IRDS_clf_bn_EFL,0,0.547619047619048,0.666666666666667,0.5,0.791666666666667,0.833333333333333,0.625,0.5,0.833333333333333,0.625
IRDS_clf_bn_EFL,1,0.833333333333333,0.880952380952381,1,1,0.952380952380952,1,0.5,0.722222222222222,1
IRDS_clf_bn_EFL,2,1,1,1,0.84375,0.96875,0.84375,0.5,1,0.84375
IRDS_clf_bn_EFL,3,0.5,1,0.5,0.958333333333333,1,0.5,0.75,1,0.5
IRDS_clf_bn_EFL,4,0.666666666666667,0.916666666666667,1,1,1,1,1,1,1
IRDS_clf_bn_EFR,0,0.75,0.8,0.9,0.5,0.7,0.75,0.5,0.8,0.75
IRDS_clf_bn_EFR,1,0.384615384615385,0.5,0.5,0.5,0.461538461538462,0.384615384615385,0.5,0.5,0.5
IRDS_clf_bn_EFR,2,0.517241379310345,0.586206896551724,0.5,0.498768472906404,0.637931034482759,0.5,0.517241379310345,0.533251231527094,0.586206896551724
IRDS_clf_bn_EFR,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
IRDS_clf_bn_EFR,4,0.5,0.5,0.416666666666667,1,0.5,0.75,0.583333333333333,0.583333333333333,0.0833333333333333
IRDS_clf_bn_SAL,0,0.511904761904762,0.511904761904762,0.5,0.547619047619048,0.511904761904762,0.476190476190476,0.464285714285714,0.5,0.44047619047619
IRDS_clf_bn_SAL,1,0.5,0.5,0.5,0.5,0.636363636363636,0.5,0.5,0.590909090909091,0.5
IRDS_clf_bn_SAL,2,0.375,0.625,0.625,0.5,0.5,0.8125,0.5,0.5,0.375
IRDS_clf_bn_SAL,3,0,0.416666666666667,1,0,1,0.333333333333333,0,0.666666666666667,0.5
IRDS_clf_bn_SAL,4,0.818181818181818,0.545454545454545,0.545454545454545,0.636363636363636,0.545454545454545,0.454545454545455,0.454545454545455,0.454545454545455,1
IRDS_clf_bn_SAR,0,0.775862068965517,0.827586206896552,0.844827586206897,0.560344827586207,0.862068965517241,0.827586206896552,0.5,0.896551724137931,0.775862068965517
IRDS_clf_bn_SAR,1,0.125,0.375,0.35,0.325,0.425,0.125,0.425,0.475,0.35
IRDS_clf_bn_SAR,2,0.583333333333333,0.666666666666667,0.611111111111111,0.611111111111111,0.583333333333333,0.583333333333333,0.583333333333333,0.75,0.555555555555556
IRDS_clf_bn_SAR,3,1,1,1,1,1,1,1,1,1
IRDS_clf_bn_SAR,4,0.583333333333333,0.916666666666667,0.5,0.666666666666667,0.916666666666667,0.666666666666667,0.5,0.916666666666667,0.583333333333333
IRDS_clf_bn_SFE,0,0.5,1,0.5,0.9,1,0.5,0.7,0.6,0.5
IRDS_clf_bn_SFE,1,0.536363636363636,0.584848484848485,0.651515151515152,0.424242424242424,0.921212121212121,0.46969696969697,0.648484848484848,0.603030303030303,0.875757575757576
IRDS_clf_bn_SFE,2,0.5,0.482142857142857,0.785714285714286,0.25,0.607142857142857,0.928571428571429,0.535714285714286,0.553571428571429,0.928571428571429
IRDS_clf_bn_SFE,3,0.5,0.5,0.5,0.692307692307692,0.5,0.5,0.5,0.5,0.5
IRDS_clf_bn_SFE,4,0,0,0.683333333333333,0,0.025,0.05,0,0.875,0.433333333333333
IRDS_clf_bn_SFL,0,0.667572463768116,0.777173913043478,0.740036231884058,0.557971014492754,0.865036231884058,0.634963768115942,0.660326086956522,0.756340579710145,0.640398550724638
IRDS_clf_bn_SFL,1,0.910472972972973,0.847972972972973,0.972972972972973,0.736486486486487,0.959459459459459,0.972972972972973,0.736486486486487,0.910472972972973,0.959459459459459
IRDS_clf_bn_SFL,2,0.857142857142857,0.928571428571429,0.785714285714286,0.794642857142857,0.794642857142857,0.857142857142857,0.214285714285714,0.857142857142857,0.857142857142857
IRDS_clf_bn_SFL,3,1,0.818181818181818,0.545454545454545,0.909090909090909,0.636363636363636,1,0.545454545454545,1,1
IRDS_clf_bn_SFL,4,0.573684210526316,0.6,0.618421052631579,0.418421052631579,0.75,0.7,0.55,0.468421052631579,0.55
IRDS_clf_bn_SFR,0,0.5,0.307692307692308,0.423076923076923,0.307692307692308,0.307692307692308,0.461538461538462,0.5,0.461538461538462,0.5
