dataset,MotionGRU,FCN,ConvLSTM,DisjointCNN,ConvTran,LITEMV,H-Inception,STGCN,VanTran
IRDS_clf_bn_EFL,0.08430170059204098,0.1756628799438476,0.2012451171875002,0.348404769897461,0.3857666397094726,0.48801735877990715,0.7749718284606936,0.803950529098511,1.327780084609984
IRDS_clf_bn_EFR,0.10000185966491681,0.1997186851501464,0.21580777168273918,0.3727071475982666,0.4419638061523436,0.5493724155426026,0.8852501296997071,0.974867763519287,1.47654718399048
IRDS_clf_bn_SAL,0.0933254146575928,0.20011250495910637,0.2112569427490234,0.3696668434143064,0.46268391609191906,0.5487111568450928,0.8886099624633792,0.9481862354278565,1.470283727645872
IRDS_clf_bn_SAR,0.09309069633483877,0.19204827308654798,0.21443490028381343,0.36002681732177744,0.43961536407470697,0.5545466423034668,0.8772016239166252,0.9741368865966796,1.50782380104065
IRDS_clf_bn_SFE,0.09002667427062985,0.17876115798950182,0.20023589134216283,0.34204734802246095,0.3926347255706788,0.486311044692993,0.7814060974121092,0.859748115539551,1.3456027603149419
IRDS_clf_bn_SFL,0.1036555385589601,0.227717123031616,0.2345670318603516,0.414344129562378,0.5337436962127686,0.6218732929229736,0.9843249034881592,1.1403141117095954,1.6087774658203142
IRDS_clf_bn_SFR,0.09397643089294427,0.1985084629058838,0.20209699630737302,0.36889975547790543,0.48534069061279295,0.551667757034302,0.8745025157928467,1.0055807590484622,1.424182529449464
IRDS_clf_bn_STL,0.09374551773071278,0.1976555156707766,0.206593904495239,0.3743244457244872,0.45004566192626944,0.5451319980621341,0.8795637798309336,0.9689730930328366,1.4755222034454358
IRDS_clf_bn_STR,0.09378069877624512,0.2000449657440186,0.20992871284484882,0.369350690841675,0.45756416320800763,0.5476702976226808,0.8772410106658933,0.9738915348052976,1.4415460586547861
KERAAL_clf_bn_CTK,0.0866340319315592,0.17730951309204102,0.19063467184702568,0.329498314857483,0.39348026116689033,0.5315577427546182,0.7756762345631918,0.988798586527507,1.221425223350525
KERAAL_clf_bn_ELK,0.08752808570861814,0.17807903289794935,0.20824852784474668,0.33028500874837236,0.4021263281504315,0.5406950871149699,0.7871900955835981,0.9886046568552666,1.3141516129175816
KERAAL_clf_bn_RTK,0.08656110763549803,0.17568268775939952,0.18924386501312251,0.32515277862548836,0.38821601072947187,0.5270773569742838,0.7731129964192709,0.9776247342427572,1.2780888875325533
KERAAL_clf_mc_CTK,0.08752981026967366,0.17612442175547283,0.20291264851888016,0.3293748060862223,0.402326766649882,0.5316197633743285,0.7756376504898072,0.9877811908721909,1.2396244764328
KERAAL_clf_mc_ELK,0.0875813007354736,0.18053374290466298,0.21548596223195382,0.32809615135192866,0.39596100648244237,0.539907749493917,0.7843486944834392,0.9627052863438917,1.2944325923919666
KERAAL_clf_mc_RTK,0.08742622534433998,0.17500647703806568,0.19624730745951333,0.3276073853174845,0.39041181405385333,0.5301605145136515,0.7729264815648399,0.9484324614206945,1.29166467189789
KIMORE_clf_bn_LA,0.09313471794128414,0.178629913330078,0.19693640708923318,0.3283496761322022,0.3848861598968506,0.428779182434082,0.7370560550689698,1.36215021133423,1.402817773818972
KIMORE_clf_bn_LT,0.09463678359985347,0.1784295272827148,0.1907302761077882,0.33429796218872065,0.384040002822876,0.4324843978881838,0.7439874744415282,1.439584865570068,1.332416925430298
KIMORE_clf_bn_PR,0.0953808975219726,0.17915976524353022,0.1853876495361326,0.3337483215332032,0.386675329208374,0.43082004547119135,0.7432702827453612,1.424817867279052,1.4263921737670882
KIMORE_clf_bn_Sq,0.09044513702392573,0.178001012802124,0.1778185558319092,0.3375577259063722,0.413185577392578,0.42948423385620094,0.7363517189025875,1.199142780303956,1.301363821029664
KIMORE_clf_bn_TR,0.0969227027893066,0.180154514312744,0.19165509223938,0.332824878692627,0.3867779541015624,0.42955616950988784,0.7394513702392578,1.435769605636596,1.349342441558838
KINECAL_clf_bn_3WFV,0.08591464996337886,0.1779572105407716,0.19376482963562,0.3418146800994874,0.3963275814056394,0.5047870349884034,0.7854258155822756,0.976235218048096,1.264289226531984
KINECAL_clf_bn_GGFV,0.08773745536804196,0.17780139923095678,0.21581477165222157,0.340543746948242,0.3913352870941162,0.50091459274292,0.796431579589844,1.0136900424957271,1.312328853607178
KINECAL_clf_bn_QSEC,0.0922187709808349,0.1798752307891846,0.1992446613311768,0.3443244647979734,0.384244270324707,0.48942827224731456,0.7832733058929444,1.248716344833376,1.33301296234131
KINECAL_clf_bn_QSEO,0.09258074760437007,0.18351121902465822,0.20896636009216318,0.3401721286773682,0.3990221309661866,0.5037605094909667,0.791032428741455,1.228489656448366,1.3978037548065199
SPHERE_clf_bn_WUS,0.08523438771565751,0.16743081410725935,0.17349950472513817,0.3209595839182538,0.3970131238301595,0.37717647552490213,0.7041547139485674,0.9013916810353595,1.311089102427165
UCDHE_clf_bn_MP,0.1808724308013914,0.3068127727508546,0.23481381416320798,0.5221458148956302,0.7430969429016112,0.6257591056823733,1.212332944869996,3.192766771316528,1.2813353157043441
UCDHE_clf_bn_Rowing,0.1908223915100098,0.3118921756744384,0.2453186321258546,0.539569902420044,0.7430727863311768,0.6316631603240968,1.2259262466430658,3.72549708366394,1.2453579425811738
UCDHE_clf_mc_MP,0.16950436592102042,0.30191064834594716,0.24212256431579576,0.533621301651001,0.7380331134796142,0.6226043128967284,1.2100652694702139,3.23099383354187,1.8440193843841581
UCDHE_clf_mc_Rowing,0.1713454055786132,0.3076354122161864,0.2621305274963378,0.568591537475586,0.7385362529754635,0.619383888244629,1.2108454322814939,3.7666213035583502,1.806492509841918
